fecha,real,lstm,gru,arima,error_lstm,error_gru,error_arima,dir_lstm,dir_gru,dir_arima,in_sample
1993-10-04,3167.6,3325.81,3311.42,3185.39,158.21,143.82,17.79,0,0,0,True
1993-10-05,3210.4,3329.42,3309.49,3165.71,119.02,99.09,44.69,1,1,0,True
1993-10-06,3242.5,3336.37,3322.04,3219.06,93.87,79.54,23.43,1,1,1,True
1993-10-07,3237.7,3347.98,3342.4,3253.2,110.29,104.7,15.51,0,0,0,True
1993-10-08,3259.7,3359.5,3352.89,3236.56,99.8,93.2,23.14,1,1,0,True
1993-10-11,3285.2,3371.78,3364.27,3265.12,86.59,79.07,20.07,1,1,1,True
1993-10-13,3291.3,3385.7,3379.88,3296.11,94.41,88.59,4.81,1,1,1,True
1993-10-14,3316.9,3398.97,3391.6,3295.35,82.08,74.71,21.55,1,1,1,True
1993-10-15,3339.2,3412.97,3406.16,3324.1,73.77,66.96,15.1,1,1,1,True
1993-10-18,3356.0,3427.92,3422.12,3348.39,71.93,66.13,7.6,1,1,1,True
1993-10-19,3352.4,3443.11,3436.72,3363.47,90.71,84.32,11.07,0,0,0,True
1993-10-20,3382.8,3455.46,3443.5,3354.38,72.66,60.71,28.42,1,1,1,True
1993-10-21,3407.8,3468.2,3456.39,3392.84,60.4,48.6,14.96,1,1,1,True
1993-10-22,3478.1,3482.36,3473.17,3417.69,4.27,4.92,60.4,1,1,1,True
1993-10-25,3456.6,3504.06,3506.11,3499.07,47.47,49.51,42.48,0,0,0,True
1993-10-26,3436.7,3523.48,3519.39,3459.52,86.78,82.69,22.83,0,0,0,True
1993-10-27,3396.6,3535.83,3516.84,3434.58,139.23,120.24,37.98,0,0,1,True
1993-10-28,3429.3,3537.29,3501.06,3393.75,108.0,71.76,35.55,1,1,0,True
1993-10-29,3449.6,3537.11,3502.43,3437.77,87.51,52.83,11.83,1,1,1,True
1993-11-02,3436.8,3538.98,3513.2,3455.11,102.18,76.4,18.32,0,0,0,True
1993-11-03,3450.5,3540.15,3515.57,3426.52,89.66,65.08,23.97,1,1,0,True
1993-11-04,3428.0,3542.61,3519.59,3451.67,114.62,91.59,23.68,0,0,0,True
1993-11-05,3348.2,3542.57,3514.92,3429.87,194.38,166.72,81.67,0,0,0,True
1993-11-08,3341.8,3531.01,3484.9,3328.06,189.21,143.1,13.74,0,0,1,True
1993-11-09,3364.3,3514.5,3463.09,3338.1,150.2,98.79,26.2,1,1,0,True
1993-11-10,3358.2,3501.26,3460.82,3370.96,143.06,102.62,12.76,0,0,0,True
1993-11-11,3358.4,3491.35,3460.01,3349.8,132.95,101.61,8.59,1,1,0,True
1993-11-12,3354.2,3484.91,3458.62,3352.96,130.71,104.43,1.24,0,0,1,True
1993-11-15,3371.7,3480.84,3455.93,3354.42,109.14,84.23,17.27,1,1,1,True
1993-11-16,3405.6,3480.91,3459.91,3376.44,75.31,54.31,29.16,1,1,1,True
1993-11-17,3445.5,3487.48,3474.22,3413.32,41.98,28.72,32.17,1,1,1,True
1993-11-18,3435.7,3501.46,3496.4,3455.11,65.77,60.71,19.41,0,0,0,True
1993-11-19,3415.8,3515.67,3506.0,3433.82,99.87,90.21,18.02,0,0,1,True
1993-11-22,3356.6,3524.87,3502.63,3413.29,168.27,146.03,56.69,0,0,1,True
1993-11-23,3327.1,3522.16,3480.15,3345.67,195.06,153.05,18.57,0,0,1,True
1993-11-24,3288.9,3509.76,3456.24,3321.05,220.87,167.34,32.16,0,0,1,True
1993-11-25,3320.2,3489.52,3431.35,3279.06,169.32,111.16,41.14,1,1,0,True
1993-11-26,3334.8,3472.64,3427.92,3326.11,137.85,93.12,8.69,1,1,1,True
1993-11-29,3313.1,3462.42,3433.68,3339.18,149.33,120.59,26.08,0,0,0,True
1993-11-30,3280.1,3454.67,3429.75,3302.62,174.57,149.66,22.52,0,0,1,True
1993-12-01,3348.5,3445.2,3414.51,3269.9,96.7,66.02,78.6,1,1,0,True
1993-12-02,3380.9,3445.11,3427.24,3368.76,64.22,46.35,12.14,1,1,1,True
1993-12-03,3417.2,3454.24,3449.45,3388.1,37.04,32.25,29.1,1,1,1,True
1993-12-07,3422.1,3471.26,3473.76,3418.39,49.16,51.66,3.7,1,1,1,True
1993-12-09,3460.7,3490.09,3488.41,3426.56,29.4,27.71,34.13,1,1,1,True
1993-12-10,3457.6,3511.52,3507.79,3471.92,53.92,50.2,14.32,0,0,0,True
1993-12-13,3460.1,3530.26,3518.81,3460.7,70.16,58.71,0.6,1,1,1,True
1993-12-14,3417.3,3544.65,3524.7,3457.94,127.35,107.4,40.64,0,0,1,True
1993-12-15,3417.0,3548.79,3513.75,3410.87,131.8,96.75,6.13,0,0,1,True
1993-12-16,3442.8,3546.8,3505.78,3414.43,104.0,62.98,28.37,1,1,0,True
1993-12-17,3453.5,3545.37,3511.27,3453.65,91.87,57.77,0.15,1,1,1,True
1993-12-20,3518.5,3546.02,3519.75,3451.5,27.53,1.25,66.99,1,1,0,True
1993-12-21,3547.6,3556.14,3545.58,3533.63,8.54,2.02,13.96,1,1,1,True
1993-12-22,3562.8,3573.43,3571.54,3558.33,10.63,8.74,4.47,1,1,1,True
1993-12-23,3616.4,3593.56,3590.1,3562.85,22.84,26.29,53.55,1,1,1,True
1993-12-27,3631.5,3618.7,3617.01,3635.16,12.8,14.49,3.67,1,1,1,True
1993-12-28,3574.3,3644.26,3638.6,3638.87,69.97,64.31,64.57,0,0,0,True
1993-12-29,3512.5,3658.33,3630.92,3556.17,145.83,118.42,43.67,0,0,1,True
1993-12-30,3567.6,3655.95,3602.77,3496.75,88.35,35.18,70.85,1,1,0,True
1993-12-31,3615.2,3652.55,3604.27,3587.28,37.35,10.93,27.92,1,1,1,True
1994-01-03,3654.5,3655.68,3626.28,3623.22,1.19,28.22,31.28,1,1,1,True
1994-01-04,3630.3,3667.03,3652.98,3654.84,36.73,22.69,24.54,0,1,0,True
1994-01-05,3621.2,3677.74,3659.04,3624.44,56.55,37.84,3.24,0,0,1,True
1994-01-07,3636.4,3685.13,3656.14,3619.94,48.73,19.74,16.45,1,1,0,True
1994-01-10,3660.6,3691.55,3659.43,3647.51,30.95,1.17,13.09,1,1,1,True
1994-01-11,3712.4,3699.63,3670.9,3664.63,12.76,41.5,47.77,1,1,1,True
1994-01-12,3680.1,3714.07,3695.38,3723.93,33.97,15.29,43.84,0,1,0,True
1994-01-13,3680.8,3725.33,3699.63,3667.95,44.53,18.84,12.84,1,1,0,True
1994-01-14,3736.4,3733.07,3698.83,3679.48,3.33,37.56,56.92,1,1,0,True
1994-01-17,3729.1,3744.94,3718.14,3760.63,15.84,10.95,31.54,0,1,0,True
1994-01-18,3757.0,3756.2,3730.32,3722.11,0.8,26.67,34.88,1,1,0,True
1994-01-19,3811.3,3768.87,3745.35,3759.33,42.43,65.94,51.97,1,0,1,True
1994-01-20,3794.4,3787.29,3774.59,3829.27,7.11,19.81,34.88,1,1,0,True
1994-01-21,3790.5,3803.54,3786.35,3787.33,13.04,4.15,3.17,0,1,1,True
1994-01-24,3762.6,3815.37,3788.29,3789.97,52.77,25.7,27.38,0,1,1,True
1994-01-25,3811.5,3819.32,3778.48,3760.62,7.83,33.02,50.88,1,1,0,True
1994-01-26,3874.6,3824.91,3790.54,3825.82,49.68,84.06,48.77,1,0,1,True
1994-01-27,3875.9,3838.85,3824.65,3888.49,37.04,51.24,12.59,0,0,1,True
1994-01-28,3915.7,3855.15,3846.01,3867.72,60.54,69.68,47.98,0,0,0,True
1994-01-31,3980.5,3875.13,3869.52,3924.17,105.36,110.98,56.32,0,0,1,True
1994-02-01,3896.9,3902.21,3907.46,4002.82,5.31,10.57,105.92,1,1,0,True
1994-02-02,3947.0,3917.62,3899.24,3874.21,29.37,47.75,72.78,1,1,0,True
1994-02-03,3924.6,3930.74,3906.51,3961.05,6.14,18.08,36.45,1,1,0,True
1994-02-04,3947.4,3937.74,3906.77,3924.05,9.65,40.63,23.34,1,0,0,True
1994-02-07,3868.8,3943.44,3914.3,3952.32,74.64,45.51,83.52,1,1,0,True
1994-02-08,3918.4,3937.42,3890.45,3861.1,19.02,27.95,57.3,1,1,0,True
1994-02-09,3910.5,3932.81,3891.22,3917.65,22.31,19.28,7.15,0,1,1,True
1994-02-10,3888.0,3928.98,3893.69,3920.02,40.98,5.69,32.03,0,1,0,True
1994-02-11,3849.3,3923.4,3885.89,3873.8,74.1,36.59,24.5,0,1,1,True
1994-02-14,3828.5,3912.88,3865.35,3851.07,84.38,36.85,22.57,0,0,0,True
1994-02-15,3828.5,3898.91,3844.94,3825.15,70.41,16.45,3.35,0,0,1,True
1994-02-16,3836.2,3885.6,3834.47,3828.19,49.4,1.73,8.0,1,1,0,True
1994-02-17,3850.5,3875.99,3833.02,3834.64,25.49,17.48,15.86,1,0,0,True
1994-02-18,3808.2,3871.85,3838.2,3850.66,63.66,30.0,42.47,0,1,0,True
1994-02-21,3728.5,3865.79,3825.45,3802.36,137.29,96.96,73.86,0,0,1,True
1994-02-22,3744.3,3849.26,3785.65,3715.61,104.96,41.35,28.68,1,1,0,True
1994-02-23,3777.0,3831.97,3766.64,3750.2,54.97,10.36,26.8,1,1,1,True
1994-02-24,3710.0,3821.54,3772.84,3783.21,111.54,62.85,73.22,0,1,0,True
1994-02-25,3704.2,3807.79,3753.89,3690.1,103.6,49.69,14.1,0,0,1,True
1994-02-28,3739.7,3793.68,3736.09,3704.22,53.98,3.61,35.47,1,1,1,True
1994-03-01,3656.8,3786.32,3740.56,3750.53,129.52,83.76,93.74,0,0,0,True
1994-03-02,3568.1,3772.97,3715.6,3639.51,204.87,147.51,71.42,0,0,1,True
1994-03-03,3625.5,3747.0,3669.19,3560.24,121.5,43.7,65.26,1,1,0,True
1994-03-04,3688.6,3726.06,3660.13,3641.67,37.47,28.47,46.93,1,1,1,True
1994-03-07,3757.4,3719.61,3682.26,3679.06,37.79,75.13,78.34,1,0,0,True
1994-03-08,3726.7,3730.73,3721.0,3756.45,4.03,5.69,29.75,1,1,1,True
1994-03-09,3699.3,3745.09,3732.96,3725.12,45.79,33.67,25.83,0,0,1,True
1994-03-10,3691.2,3754.8,3723.6,3700.07,63.61,32.4,8.87,0,0,0,True
1994-03-11,3665.2,3759.16,3713.89,3699.41,93.97,48.7,34.21,0,0,0,True
1994-03-14,3732.4,3756.5,3701.85,3657.57,24.1,30.55,74.83,1,1,0,True
1994-03-15,3783.3,3759.23,3717.94,3741.76,24.06,65.36,41.54,1,0,1,True
1994-03-16,3743.6,3771.05,3751.2,3786.73,27.45,7.61,43.14,1,1,0,True
1994-03-17,3740.0,3780.46,3755.26,3728.38,40.46,15.27,11.61,0,0,1,True
1994-03-18,3705.1,3786.37,3750.91,3746.6,81.27,45.81,41.51,0,0,0,True
1994-03-21,3666.6,3784.9,3735.7,3705.7,118.3,69.1,39.1,0,0,0,True
1994-03-22,3670.0,3774.79,3712.76,3660.95,104.8,42.77,9.05,1,1,0,True
1994-03-23,3682.2,3762.35,3702.14,3675.41,80.16,19.95,6.78,1,1,1,True
1994-03-24,3624.9,3752.5,3702.06,3683.27,127.61,77.17,58.37,0,0,0,True
1994-03-25,3610.1,3738.36,3684.0,3613.53,128.26,73.9,3.43,0,0,1,True
1994-03-28,3592.8,3722.38,3665.9,3613.28,129.59,73.1,20.49,0,0,0,True
1994-03-29,3552.2,3705.97,3650.78,3594.25,153.77,98.58,42.05,0,0,0,True
1994-03-30,3489.1,3686.86,3629.47,3544.31,197.77,140.37,55.21,0,0,1,True
1994-03-31,3489.1,3661.39,3595.72,3482.38,172.3,106.63,6.72,0,0,1,True
1994-04-05,3483.4,3636.82,3575.38,3493.86,153.42,91.99,10.46,0,0,0,True
