fecha,real,lstm,gru,arima,error_lstm,error_gru,error_arima,dir_lstm,dir_gru,dir_arima
2019-10-01,9165.9,9165.49,9234.89,9245.17,0.41,68.99,79.27,1,1,0
2019-10-02,8912.2,9181.33,9189.17,9161.75,269.13,276.97,249.55,0,0,1
2019-10-03,8902.2,9120.52,8981.58,8894.38,218.32,79.38,7.82,0,0,1
2019-10-04,8961.8,9037.23,8915.42,8919.38,75.43,46.38,42.42,1,1,1
2019-10-07,9044.1,8978.42,8960.11,8949.81,65.68,83.99,94.29,1,0,0
2019-10-08,8940.1,8965.46,9037.78,9055.01,25.36,97.68,114.91,1,1,0
2019-10-09,8991.9,8950.95,8976.72,8941.37,40.95,15.18,50.53,1,1,1
2019-10-10,9104.4,8953.01,8987.18,9009.84,151.39,117.22,94.56,0,0,1
2019-10-11,9273.8,8990.88,9081.48,9095.85,282.92,192.32,177.95,0,0,0
2019-10-14,9246.5,9078.9,9235.86,9268.91,167.6,10.64,22.41,1,1,1
2019-10-15,9356.1,9161.91,9253.58,9234.31,194.19,102.52,121.79,0,1,0
2019-10-16,9386.7,9250.29,9327.57,9367.53,136.41,59.13,19.17,0,0,1
2019-10-17,9340.0,9326.93,9375.95,9363.94,13.07,35.95,23.94,1,1,1
2019-10-18,9329.8,9367.04,9350.83,9316.95,37.24,21.03,12.85,0,0,1
2019-10-21,9402.3,9377.23,9333.71,9338.46,25.07,68.59,63.84,1,1,1
2019-10-22,9380.2,9388.46,9388.12,9396.85,8.26,7.92,16.65,1,1,1
2019-10-23,9385.0,9390.66,9390.87,9365.49,5.66,5.87,19.51,1,1,0
2019-10-24,9391.8,9388.66,9389.95,9395.01,3.14,1.85,3.21,1,1,1
2019-10-25,9430.2,9386.39,9395.81,9393.59,43.81,34.39,36.61,0,1,1
2019-10-28,9433.0,9393.91,9427.14,9423.34,39.09,5.86,9.66,0,0,0
2019-10-29,9400.1,9404.59,9438.59,9431.32,4.49,38.49,31.22,1,0,1
2019-10-30,9284.5,9405.82,9414.55,9396.55,121.32,130.05,112.05,0,0,1
2019-10-31,9257.5,9373.42,9320.23,9277.47,115.92,62.73,19.97,0,0,1
2019-11-01,9328.0,9327.01,9274.12,9264.06,0.99,53.88,63.94,1,1,1
2019-11-04,9416.4,9303.3,9321.82,9336.92,113.1,94.58,79.48,0,0,1
2019-11-05,9407.9,9318.02,9405.5,9418.81,89.88,2.4,10.91,1,1,0
2019-11-06,9398.4,9344.86,9417.92,9409.55,53.54,19.52,11.15,1,0,0
2019-11-07,9447.3,9368.86,9406.09,9403.07,78.44,41.21,44.23,0,1,1
2019-11-08,9393.7,9398.46,9439.62,9445.6,4.76,45.92,51.9,1,1,1
2019-11-11,9388.5,9409.96,9411.98,9366.7,21.46,23.48,21.8,0,0,1
2019-11-12,9306.7,9409.14,9396.57,9398.51,102.44,89.87,91.81,0,0,0
2019-11-13,9194.5,9382.09,9334.31,9299.44,187.59,139.81,104.94,0,0,1
2019-11-14,9173.3,9321.3,9232.94,9184.91,148.0,59.64,11.61,0,0,1
2019-11-15,9261.4,9254.53,9191.52,9192.88,6.88,69.88,68.52,1,1,1
2019-11-18,9258.0,9223.27,9252.96,9274.65,34.73,5.04,16.65,1,1,0
2019-11-19,9259.2,9215.04,9270.73,9259.96,44.16,11.53,0.76,0,1,1
2019-11-20,9225.4,9220.16,9268.38,9277.44,5.25,42.98,52.04,1,0,0
2019-11-21,9214.0,9222.25,9240.69,9223.19,8.25,26.69,9.19,1,0,1
2019-11-22,9254.7,9220.15,9224.08,9204.4,34.55,30.62,50.3,1,1,0
2019-11-25,9319.9,9227.2,9252.15,9260.75,92.7,67.75,59.15,0,0,1
2019-11-26,9324.8,9253.24,9311.03,9323.69,71.56,13.77,1.11,0,0,1
2019-11-27,9362.7,9282.85,9329.43,9322.34,79.85,33.27,40.36,0,1,0
2019-11-28,9359.0,9316.48,9357.9,9367.59,42.52,1.1,8.59,1,1,0
2019-11-29,9352.0,9342.66,9363.48,9346.72,9.34,11.48,5.28,1,0,1
2019-12-02,9156.3,9357.06,9358.15,9342.23,200.76,201.85,185.93,0,0,1
2019-12-03,9135.7,9312.93,9211.04,9132.04,177.23,75.34,3.66,0,0,1
2019-12-04,9270.8,9247.55,9151.37,9151.09,23.25,119.43,119.71,1,1,1
2019-12-05,9243.4,9221.8,9248.68,9291.16,21.6,5.28,47.76,1,1,0
2019-12-06,9382.7,9213.1,9261.54,9226.46,169.6,121.16,156.24,0,1,0
2019-12-09,9354.6,9249.6,9357.29,9432.14,105.0,2.69,77.54,1,1,0
2019-12-10,9321.1,9291.06,9365.12,9330.09,30.04,44.03,8.99,1,0,1
2019-12-11,9392.5,9316.72,9333.04,9303.59,75.78,59.46,88.91,0,1,0
2019-12-12,9468.5,9347.17,9378.37,9397.33,121.33,90.13,71.17,0,0,1
2019-12-13,9563.7,9391.37,9453.99,9450.94,172.33,109.71,112.76,0,0,0
2019-12-16,9680.6,9454.81,9544.16,9569.84,225.79,136.44,110.76,0,0,1
2019-12-17,9615.9,9540.77,9653.06,9683.53,75.13,37.16,67.62,1,1,0
2019-12-18,9621.8,9599.07,9630.77,9583.82,22.73,8.97,37.98,0,1,0
2019-12-19,9617.2,9631.6,9620.64,9619.01,14.4,3.44,1.81,0,1,1
2019-12-20,9675.5,9642.47,9620.47,9598.35,33.03,55.03,77.15,1,1,0
2019-12-23,9659.6,9654.7,9666.19,9676.56,4.9,6.59,16.96,1,1,0
2019-12-24,9661.8,9659.61,9669.04,9655.62,2.19,7.24,6.18,1,1,0
2019-12-27,9700.5,9659.99,9667.32,9664.83,40.51,33.18,35.67,0,1,1
2019-12-30,9612.6,9667.65,9696.42,9700.79,55.05,83.82,88.19,1,1,0
2019-12-31,9549.2,9654.15,9640.92,9595.21,104.95,91.72,46.01,0,0,1
2020-01-02,9691.2,9618.36,9574.13,9557.9,72.84,117.07,133.3,1,1,1
2020-01-03,9646.6,9617.2,9666.05,9708.68,29.4,19.45,62.08,1,1,0
2020-01-06,9600.9,9620.61,9666.57,9621.18,19.71,65.67,20.28,1,0,1
2020-01-07,9579.8,9614.1,9621.72,9620.3,34.3,41.92,40.5,0,0,0
2020-01-08,9591.4,9599.72,9593.39,9576.14,8.32,1.99,15.26,1,1,0
2020-01-09,9581.8,9588.49,9598.37,9589.02,6.69,16.57,7.22,1,0,1
2020-01-10,9573.6,9579.19,9594.76,9583.22,5.59,21.16,9.62,1,0,0
2020-01-13,9543.9,9571.2,9586.03,9578.84,27.3,42.13,34.94,1,0,0
2020-01-14,9528.3,9558.48,9561.03,9542.52,30.18,32.73,14.22,0,0,1
2020-01-15,9511.7,9543.03,9542.21,9531.63,31.33,30.51,19.93,0,0,0
2020-01-16,9572.5,9526.11,9526.13,9512.64,46.39,46.37,59.86,1,1,1
2020-01-17,9681.3,9528.21,9568.0,9582.03,153.09,113.3,99.27,0,0,1
2020-01-20,9658.8,9566.11,9662.92,9682.26,92.69,4.12,23.46,1,1,0
2020-01-21,9611.3,9605.45,9669.72,9642.85,5.85,58.42,31.55,1,0,1
2020-01-22,9573.7,9624.05,9627.62,9613.03,50.35,53.92,39.33,0,0,0
2020-01-23,9518.5,9619.19,9588.39,9568.05,100.69,69.89,49.55,0,0,1
2020-01-24,9562.0,9590.65,9540.54,9514.08,28.65,21.46,47.92,1,1,0
2020-01-27,9366.3,9569.01,9562.39,9578.33,202.71,196.09,212.03,0,0,0
2020-01-28,9484.2,9505.95,9426.13,9346.09,21.75,58.07,138.11,1,1,0
2020-01-29,9546.7,9469.36,9469.03,9526.35,77.34,77.67,20.35,0,0,1
2020-01-30,9477.9,9469.35,9542.63,9525.4,8.55,64.73,47.5,1,1,1
2020-01-31,9367.9,9468.86,9505.72,9481.02,100.96,137.82,113.12,1,0,0
2020-02-03,9404.7,9441.12,9403.85,9379.48,36.42,0.85,25.22,1,1,1
2020-02-04,9562.9,9417.57,9405.09,9411.35,145.33,157.81,151.55,1,1,1
2020-02-05,9717.8,9441.76,9534.26,9562.06,276.04,183.54,155.74,0,0,0
2020-02-06,9811.3,9521.07,9687.19,9710.03,290.23,124.11,101.27,0,0,0
2020-02-07,9811.0,9630.12,9788.15,9800.06,180.88,22.85,10.94,1,1,1
2020-02-10,9816.0,9726.14,9805.29,9789.59,89.86,10.71,26.41,0,0,0
2020-02-11,9882.6,9793.88,9808.42,9798.07,88.72,74.18,84.53,0,0,0
2020-02-12,9940.4,9848.41,9861.63,9875.79,91.99,78.77,64.62,0,0,0
2020-02-13,9909.8,9897.14,9923.02,9928.54,12.66,13.22,18.74,1,1,1
2020-02-14,9956.8,9922.18,9915.11,9896.36,34.61,41.69,60.44,1,1,0
2020-02-17,10022.2,9941.3,9943.49,9965.17,80.9,78.71,57.03,0,0,1
2020-02-18,10005.8,9968.65,10003.35,10015.5,37.15,2.45,9.7,1,1,1
2020-02-19,10083.6,9987.93,10007.15,9992.11,95.67,76.45,91.49,0,1,0
2020-02-20,9931.0,10018.21,10060.9,10099.02,87.21,129.9,168.02,1,1,0
2020-02-21,9886.2,10006.48,9965.98,9895.17,120.28,79.78,8.97,0,0,1
2020-02-24,9483.5,9967.18,9900.61,9915.36,483.68,417.11,431.86,0,0,0
2020-02-25,9250.8,9822.43,9594.89,9447.9,571.63,344.09,197.1,0,0,1
2020-02-26,9316.8,9607.3,9333.1,9266.73,290.5,16.3,50.07,1,1,1
2020-02-27,8985.9,9429.72,9329.9,9359.82,443.82,344.0,373.92,0,0,0
2020-02-28,8723.2,9229.9,9100.69,8906.83,506.7,377.49,183.63,0,0,1
2020-03-02,8741.5,9004.98,8823.69,8703.11,263.48,82.19,38.39,1,1,0
2020-03-03,8811.6,8829.85,8767.66,8705.59,18.25,43.94,106.01,1,1,0
2020-03-04,8910.0,8739.29,8822.23,8783.48,170.71,87.77,126.52,0,1,0
2020-03-05,8683.0,8736.29,8908.41,8920.15,53.29,225.41,237.15,1,1,0
2020-03-06,8375.6,8720.48,8755.02,8613.42,344.88,379.42,237.82,0,0,1
2020-03-09,7708.7,8629.11,8466.8,8362.8,920.41,758.1,654.1,0,0,1
